Title,Author,Year,Any location source,Has abstract,Abstract
Asimetría normativa en la Convención Interamericana contra la Corrupción: diagnóstico estructural y paradigma conductual-coyuntural,Javier Marzal,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"La Convención Interamericana contra la Corrupción (1996), adoptada en el marco de la Organización de los Estados Americanos, constituye el primer instrumento internacional jurídicamente vinculante dedicado de manera específica a la lucha contra la corrupción. Su preámbulo reconoce expresamente que la corrupción socava la legitimidad institucional, distorsiona la economía, deteriora el orden social y puede afectar la estabilidad democrática, configurando así un diagnóstico de carácter estructural. Sin embargo, la arquitectura operativa del tratado se articula principalmente en torno a la tipificación de conductas individuales y mecanismos de cooperación penal. Este trabajo identifica una asimetría normativa entre el nivel estructural en que se describe el fenómeno y el paradigma conductual-coyuntural predominante en su instrumentación jurídica. A partir de un análisis literal, sistemático y teleológico conforme a los artículos 31 y 32 de la Convención de Viena sobre el Derecho de los Tratados (1969), el estudio introduce una distinción analítica entre corrupción coyuntural y dos modalidades de corrupción sistémica: por agregación conductual y por configuración institucional. El trabajo no propone una reforma predeterminada del tratado, sino que explora posibles vías de evolución conceptual e interpretativa orientadas a reforzar la coherencia interna del instrumento y su capacidad para afrontar dinámicas complejas de deterioro institucional y social. Working paper. Este estudio forma parte de un programa de investigación sobre los límites estructurales del derecho internacional anticorrupción (1996–2023)."
Uso de la inteligencia artificial en la transparencia gubernamental y el combate a la corrupción,Victor Hugo Garcia-Benitez|Edgar A. Ruvalcaba-Gómez|Israel Hernandez Martinez,2026,trilogía Ciencia Tecnología Sociedad|Dialnet (Universidad de la Rioja)|DOAJ (DOAJ: Directory of Open Access Journals),Has abstract,"La corrupción estructural que deteriora el desarrollo y la confianza en las instituciones puede ser enfrentada con la inteligencia artificial, una herramienta con capacidad de transformación para fortalecer la transparencia gubernamental en el sector público. El objetivo de la investigación es identificar y analizar las características de las prácticas más relevantes que utilizan inteligencia artificial para combatir la corrupción en el mundo. El enfoque metodológico fue cualitativo, descriptivo y comparativo, basado en un estudio de 19 iniciativas internacionales. Se halla una tendencia mundial a utilizar la inteligencia artificial a través del machine learning supervisado, principalmente en áreas de alta vulnerabilidad como las compras públicas y la administración tributaria. Se observa que hay una implementación de la inteligencia artificial como una herramienta que complementa las capacidades humanas, no como un reemplazo. Aunque se han presentado resultados financieros significativos, el análisis evidencia desafíos comunes como la deficiencia en la calidad de los datos, la falta de personal capacitado y una notable brecha entre el avance tecnológico y el desarrollo de marcos jurídicos y éticos. En conclusión, la eficacia de la inteligencia artificial depende de factores contextuales como la madurez institucional y la gobernanza de datos, y necesita una reforma integral de las capacidades estatales con el fin de garantizar un uso transparente, ético y responsable."
SIN CORRUPCIÓN NO HABRÍA DEUDA PÚBLICA. Corrupción macroeconómica,Javier Marzal,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"Este artículo es la primera contribución de la Serie sobre la corrupción, que desarrolla un nuevo paradigma (marco analítico) para el estudio de la corrupción basado en el análisis y la integración de la documentación producida por las organizaciones intergubernamentales. El artículo analiza la corrupción como un fenómeno macroeconómico. Reúne los principales datos oficiales sobre corrupción producidos o publicados por instituciones internacionales y europeas y los compara con la deuda pública de las cuatro mayores economías de la Unión Europea: Alemania, Francia, Italia y España. La comparación muestra que la magnitud de la corrupción supera a la deuda pública, hasta el punto de que, en los escenarios analizados, sin corrupción no habría deuda pública. A pesar de su magnitud y de sus consecuencias económicas y sociales sistémicas, la corrupción macroeconómica no se ha incorporado al análisis económico y político ni al marco anticorrupción predominante, que continúa abordando la corrupción fundamentalmente a través de conductas y delitos individuales. El artículo también considera evidencia econométrica a gran escala que muestra que la corrupción distorsiona la asignación de capital y trabajo, reduce la productividad e impide el crecimiento de las empresas más eficientes. Constituye el punto de partida de posteriores artículos que analizan las dimensiones económicas, políticas, institucionales y jurídicas de la corrupción."
SIN CORRUPCIÓN NO HABRÍA DEUDA PÚBLICA. Corrupción macroeconómica,Javier Marzal,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"Este artículo es la primera contribución de la Serie sobre la corrupción, que desarrolla un nuevo paradigma (marco analítico) para el estudio de la corrupción basado en el análisis y la integración de la documentación producida por las organizaciones intergubernamentales. El artículo analiza la corrupción como un fenómeno macroeconómico. Reúne los principales datos oficiales sobre corrupción producidos o publicados por instituciones internacionales y europeas y los compara con la deuda pública de las cuatro mayores economías de la Unión Europea: Alemania, Francia, Italia y España. La comparación muestra que la magnitud de la corrupción supera a la deuda pública, hasta el punto de que, en los escenarios analizados, sin corrupción no habría deuda pública. A pesar de su magnitud y de sus consecuencias económicas y sociales sistémicas, la corrupción macroeconómica no se ha incorporado al análisis económico y político ni al marco anticorrupción predominante, que continúa abordando la corrupción fundamentalmente a través de conductas y delitos individuales. El artículo también considera evidencia econométrica a gran escala que muestra que la corrupción distorsiona la asignación de capital y trabajo, reduce la productividad e impide el crecimiento de las empresas más eficientes. Constituye el punto de partida de posteriores artículos que analizan las dimensiones económicas, políticas, institucionales y jurídicas de la corrupción."
Combate a la corrupción,,2026,Directory of Open access Books (OAPEN Foundation),Has abstract,"Actualmente, la corrupción constituye una de las problemáticas sociopolíticas más relevantes en México, entendida como el abuso del poder público para obtener beneficios personales o para terceros. Esta obra presenta ocho ensayos resultado de trabajos en la Maestría en Ciencias Jurídico-Penales, que analizan desde una perspectiva jurídico-penal los diferentes ámbitos en los que la corrupción se manifiesta y sus implicaciones jurídicas. Los autores examinan mecanismos del sistema nacional anticorrupción, la responsabilidad penal, los programas sociales y su vínculo con el clientelismo electoral, la inmunidad penal para gobernadores, la privatización penitenciaria y otros aspectos fundamentales para entender y combatir la corrupción en México. Este libro resulta una contribución tanto para académicos, profesionales del derecho, estudiantes y quienes buscan comprender los retos y propuestas para fortalecer la legalidad, la transparencia y la rendición de cuentas como herramientas esenciales para el desarrollo democrático. Disponible en su versión acceso abierto de descarga gratuita."
Género y corrupción en China,United Nations Office on Drugs and Crime,2026,Foro sobre el delito y la sociedad,Has abstract,
Documentar y erradicar la corrupción en México,Leticia Bobadilla González,2026,LiminaR Estudios Sociales y Humanísticos|DOAJ (DOAJ: Directory of Open Access Journals),Has abstract,"La corrupción y la impunidad en nuestro país vulneran la democracia y los derechos humanos, protegidos tanto por la Constitución como por el derecho internacional. Combatirlas es una responsabilidad compartida entre la ciudadanía, los administradores de justicia y las instituciones estatales, quienes están obligados a garantizar la transparencia. Bajo esta premisa, el libro colectivo El combate a la corrupción en México: Avances y Oportunidades reúne once artículos de especialistas que analizan este fenómeno desde una perspectiva de los derechos humanos. El prólogo corresponde a Roberto Moreno Herrera y la obra se divide grosso modo en dos partes: la primera se enfoca al derecho a la información ambiental, el acceso a la justicia para las mujeres y a la corrupción como obstáculo para el acceso a los derechos humanos; la segunda parte está dedicada a los temas de la participación ciudadana para combatir la corrupción."
LAS RAÍCES COLONIALES DE LA CORRUPCIÓN EN ÁFRICA,Armand Salouo-Mvondo,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"La corrupción contemporánea en África no surgió de manera espontánea, sino que se inscribe en la continuidad de un orden político y administrativo heredado de la colonización. Este artículo examina los fundamentos históricos de la corrupción sistémica en África mediante el análisis de la ingeniería administrativa implantada por las potencias coloniales francesa, belga y británica. El estudio muestra que los sistemas burocráticos opacos, la concentración del poder y las prácticas clientelares institucionalizadas durante el período colonial crearon una arquitectura estatal concebida para dominar, no para servir. Al documentar los distintos modelos de corrupción desarrollados por cada potencia colonial —la centralización francesa y sus «fondos reservados», la brutalidad extractiva belga en el Congo y el «gobierno indirecto» británico, que favoreció la formación de redes locales de corrupción—, el artículo demuestra que la corrupción actual hunde sus raíces estructurales en las lógicas coloniales de administración y disciplina social. Esta genealogía histórica es indispensable para comprender los fundamentos del Estado africano contemporáneo y la persistencia de prácticas depredadoras en la gestión del bien público."
LAS RAÍCES COLONIALES DE LA CORRUPCIÓN EN ÁFRICA,Armand Salouo-Mvondo,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"La corrupción contemporánea en África no surgió de manera espontánea, sino que se inscribe en la continuidad de un orden político y administrativo heredado de la colonización. Este artículo examina los fundamentos históricos de la corrupción sistémica en África mediante el análisis de la ingeniería administrativa implantada por las potencias coloniales francesa, belga y británica. El estudio muestra que los sistemas burocráticos opacos, la concentración del poder y las prácticas clientelares institucionalizadas durante el período colonial crearon una arquitectura estatal concebida para dominar, no para servir. Al documentar los distintos modelos de corrupción desarrollados por cada potencia colonial —la centralización francesa y sus «fondos reservados», la brutalidad extractiva belga en el Congo y el «gobierno indirecto» británico, que favoreció la formación de redes locales de corrupción—, el artículo demuestra que la corrupción actual hunde sus raíces estructurales en las lógicas coloniales de administración y disciplina social. Esta genealogía histórica es indispensable para comprender los fundamentos del Estado africano contemporáneo y la persistencia de prácticas depredadoras en la gestión del bien público."
Prediciendo la corrupción en la contratación pública colombiana,Hernán Rodrigo García Fuentes,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario),Has abstract,"A pesar de leyes, auditorías y reformas institucionales, la corrupción persiste en el sector público colombiano. El país ocupa el puesto 99 de 182 en el Índice de Percepción de Corrupción 2025, con más de 57.000 denuncias entre 2010 y 2023, siendo los contratos irregulares uno de los delitos más frecuentes. La investigación propone usar inteligencia artificial para anticipar estos actos. A partir de 489.580 contratos del SECOP II (2010–2021) y 183 variables contractuales, socioeconómicas y departamentales, se entrenaron modelos Lasso y Random Forest. La variable objetivo son las multas y sanciones impuestas a los contratos. Los modelos alcanzaron un AUC superior a 0,90, evidenciando buena capacidad predictiva, aunque con limitaciones de precisión por el desbalance en los datos. Las variables más influyentes fueron el departamento del contratista, el valor del contrato y la modalidad de contratación. Como resultado práctico, se desarrolló un sistema de alertas que clasifica contratos en niveles de riesgo (Bajo, Medio, Alto y Crítico) y estima el impacto económico esperado, optimizando la asignación de recursos de control sin reemplazar al auditor humano."
