Title,Author,Year,Any location source,Country,Abstract,Has abstract,Has references
"Ética, política y ciudadanía para una Europa solidaria",Alberto Hidalgo Tuñón,2026,Eikasía Revista de Filosofía|DOAJ (DOAJ: Directory of Open Access Journals)|,,"En «Ética, política y ciudadanía para una Europa solidaria», Alberto Hidalgo Tuñón analiza críticamente la idea de solidaridad desde las coordenadas del materialismo filosófico y en el contexto de la construcción europea. El autor parte de las dificultades políticas de la Unión Europea, los conflictos derivados de la inmigración y la crisis del proyecto constitucional para preguntarse por el significado y los fundamentos de la solidaridad. Mediante una reconstrucción histórica y conceptual, examina sus raíces jurídicas romanas, sus conexiones con la caridad cristiana, la fraternidad revolucionaria y las teorías sociológicas de Durkheim y Weber. Asimismo, estudia los distintos modelos de Estado de bienestar europeos y sus implicaciones para la ciudadanía y la justicia social. Frente a interpretaciones sentimentales o meramente voluntaristas, sostiene que la solidaridad debe entenderse como una idea filosófica compleja vinculada a la organización política, los derechos humanos y la constitución de una ciudadanía capaz de afrontar los desafíos de una Europa plural e integrada.",Has abstract,not has references
Contribución de la educación ética en valores para eliminar los discursos de odio,Javier Gracia Calandín,2026,Sophía|Redalyc (Universidad Autónoma del Estado de México)|DOAJ (DOAJ: Directory of Open Access Journals),ES,"Hate speech has increased with the advent of social media and constitutes a social scourge insofar as it fuels discrimination and violence towards certain individuals because they belong to certain stigmatized groups. Considering this problem, the aim of this paper is to analyze the extent to which a values-based philosophy of education can contribute to the elimination of such hate speech. It denounces the technocratic confusion of attempting to solve ethical problems with technological innovation without addressing the underlying intrinsic values that should guide our actions. To carry out the study, hermeneutic methodology has been used insofar as it seeks to adequately understand the axiological dimension in people's actions and character building. Among the main results obtained is taht the philosophy of ethical education in values allows us to recognize the need for intrinsic values as a guide for instrumental values. The main conclusion is that ethical education in values not consist of theoretical learning of moral values but rather the ethical realization of values. Thus, in the face of the problems of moral disconnection, ethical education in values conceives freedom of expression as linked to personal responsability.",Has abstract,not has references
Código de ética administrativa,Guillermo Nannetti Concha,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario)|Repositorio Institucional E-DocUR (Universidad Del Rosario),,"Publicamos en este número de la revista El Proyecto de Código de Ética Administrativa, cuyo autor es el doctor Guilermo Nannetti Concha, antiguo director de la Escuela Superior de Administración Pública (ESAP), y que consideramos de gran trascendencia tanto por su originalidad como por el concepto y la forma en que está escrito. La Redacción.",Has abstract,not has references
Ética de la investigación,Williams Gilberto Jiménez García,2026,Institutional Repository of the National University Open and Distance UNAD (Universidad Nacional Abierta y a Distancia),,,Has abstract,not has references
"Inteligencia artificial, ética e investigación",Edwin Santana-Soriano,2026,Zenodo (CERN European Organization for Nuclear Research),,"El artículo examina el uso ético de la inteligencia artificial en la investigación formativa. Antes de valorar su aplicación, el autor delimita los conceptos centrales del problema —ética, inteligencia artificial e investigación formativa— y subraya la importancia de partir de un marco teórico y conceptual claro. A partir de esa base, reflexiona sobre las condiciones y responsabilidades que deben guiar el empleo de estas herramientas en los procesos de formación investigativa.",Has abstract,not has references
Ética de la transparencia:,José V. Hernández‐Conde,2026,Recerca Revista de pensament i anàlisi|DOAJ (DOAJ: Directory of Open Access Journals),ES,"Aunque tradicionalmente se ha asociado transparencia con democracia, acceso a la información y control ciudadano, en el ámbito de la inteligencia artificial, esta relación se fractura. Más datos e información no garantizan más comprensión cuando la complejidad técnica de los sistemas genera opacidad estructural incluso para los propios expertos. Además, la fragmentación del conocimiento técnico y la desaparición de la figura de un experto unificado acentúan las dificultades asociadas a la supervisión de los sistemas de inteligencia artificial generativa, todo lo cual amenaza nuestra capacidad para comprender las decisiones tomadas por dichos sistemas. Asimismo, se advierte del riesgo asociado a la posibilidad de que una transparencia total derive en vigilancia y erosión de la libertad individual. Finalmente, se discute el alcance y los límites de la idea de inteligibilidad democrática, como medio para que la ciudadanía pueda continuar deliberando y decidiendo informadamente en las sociedades contemporáneas.",Has abstract,not has references
"Ética, transparencia y gobernanza pública",Rosa Isela Aguilar Castillo|Elda Magdalena López Castro|Rosa Marina Madrid Paredones,2026,Zenodo (CERN European Organization for Nuclear Research),ES|MX||MX,"Ética, transparencia y gobernanza pública: estudios sobre auditoría, participación ciudadana y la Agenda 2030 es una obra colectiva de rigor académico que analiza la intersección entre la integridad institucional y los desafíos contemporáneos de la administración pública. Coordinado por especialistas de alto nivel, el volumen examina cómo la opacidad y la corrupción erosionan el tejido social, proponiendo a la ética pública y al neoinstitucionalismo como pilares fundamentales para la reconstrucción de la confianza ciudadana y la eficacia gubernamental. A través de una serie de ensayos críticos, los autores abordan temas de alta relevancia política y legislativa, tales como el impacto de la austeridad republicana en la fiscalización del gasto, la evolución del Sistema Nacional de Transparencia y el papel de la auditoría de desempeño en las instituciones de educación superior. La obra no solo diagnostica las problemáticas actuales, sino que proyecta soluciones alineadas con los compromisos globales del Objetivo 16 de la Agenda 2030, integrando conceptos de gobernanza inteligente, datos abiertos y resiliencia institucional. Este libro se consolida como una referencia indispensable para académicos, legisladores y actores de la sociedad civil interesados en implementar una visión transformadora, responsable y sostenible en el ejercicio del poder público.",Has abstract,not has references
"Ética, transparencia y gobernanza pública",Rosa Isela Aguilar Castillo|Elda Magdalena López Castro|Rosa Marina Madrid Paredones,2026,Zenodo (CERN European Organization for Nuclear Research),ES|MX||MX,"Ética, transparencia y gobernanza pública: estudios sobre auditoría, participación ciudadana y la Agenda 2030 es una obra colectiva de rigor académico que analiza la intersección entre la integridad institucional y los desafíos contemporáneos de la administración pública. Coordinado por especialistas de alto nivel, el volumen examina cómo la opacidad y la corrupción erosionan el tejido social, proponiendo a la ética pública y al neoinstitucionalismo como pilares fundamentales para la reconstrucción de la confianza ciudadana y la eficacia gubernamental. A través de una serie de ensayos críticos, los autores abordan temas de alta relevancia política y legislativa, tales como el impacto de la austeridad republicana en la fiscalización del gasto, la evolución del Sistema Nacional de Transparencia y el papel de la auditoría de desempeño en las instituciones de educación superior. La obra no solo diagnostica las problemáticas actuales, sino que proyecta soluciones alineadas con los compromisos globales del Objetivo 16 de la Agenda 2030, integrando conceptos de gobernanza inteligente, datos abiertos y resiliencia institucional. Este libro se consolida como una referencia indispensable para académicos, legisladores y actores de la sociedad civil interesados en implementar una visión transformadora, responsable y sostenible en el ejercicio del poder público.",Has abstract,not has references
Ética y desarrollo (2026),Imanol Zubero,2026,,,,No abstract,not has references
"Inteligencia artificial, ética e investigación",Edwin Santana-Soriano,2026,Zenodo (CERN European Organization for Nuclear Research),,"El artículo examina el uso ético de la inteligencia artificial en la investigación formativa. Antes de valorar su aplicación, el autor delimita los conceptos centrales del problema —ética, inteligencia artificial e investigación formativa— y subraya la importancia de partir de un marco teórico y conceptual claro. A partir de esa base, reflexiona sobre las condiciones y responsabilidades que deben guiar el empleo de estas herramientas en los procesos de formación investigativa.",Has abstract,not has references
Una ética en Gottfried Wilhelm Leibniz,María Isabel Ackerley,2026,Eikasía Revista de Filosofía|,AR,"Dentro de la temática actual en el campo de la filosofía, nos avocamos a la ética, dado que consideramos que esta palabra deja entrever en si misma el motivo que nos congrega como seres humanos. Sin ética, es imposible elaborar un proyecto humano como también pensar en un futuro. El tema a desarrollar es el sistema de interpretación de la realidad construido por Leibniz en el siglo XVII: un sistema donde la complejidad y el principio de lo maximal, que denomino Ética de lo Maximal, resulta necesario para habitar el mejor de los mundos posibles.",Has abstract,not has references
Éticamente #120 – Responsabilidad Ética y Ciudadana,Eva María Urbano Mejía,2026,Institutional Repository of the National University Open and Distance UNAD (Universidad Nacional Abierta y a Distancia),,,Has abstract,not has references
Pulso Ético: Ética para el médico auditor,Alberto Gonzales Guzmán|Karla Beatriz Grau Carreño,2026,Zenodo (CERN European Organization for Nuclear Research),PE|PE,"Pulso Ético: Ética para el médico auditor es un manual de campo orientado a la reflexión y toma de decisiones éticas en el ejercicio de la auditoría médica. La obra aborda la relación entre auditoría, ética, moral y derecho; el papel del auditor como agente ético; la justicia distributiva en salud; la evaluación de evidencia, riesgo y costo-efectividad; los conflictos de interés, la independencia, la confidencialidad, los derechos de las personas usuarias, la seguridad del paciente y la lex artis. El manual propone el enfoque denominado auditoría de justicia, articulado en tres elementos: los hechos, la razón y el rastro de la decisión. Asimismo, incorpora herramientas prácticas para la deliberación ética, entre ellas el Registro de Exclusión Razonada (RER), concebido por los autores como un instrumento para documentar los hechos, criterios y razones que sustentan una decisión. La obra está organizada en seis bloques: fundamentos y eje; auditoría de justicia; ética propia del auditor; método y ficha; casos y preguntas; y núcleo común y notas por país para América Latina. Incluye casos prácticos, criterios de deliberación, referencias bibliográficas y elementos normativos relevantes para el ejercicio profesional. Está dirigida principalmente a médicos auditores, profesionales de la salud, gestores sanitarios, responsables de evaluación y priorización de tecnologías y servicios de salud, docentes y estudiantes interesados en ética aplicada a la auditoría médica y a la toma de decisiones en salud. Primera edición digital, 2026. Distribución gratuita.",Has abstract,not has references
